Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
1,1,10,,33231,10.10s,8.56MB,3290.21,868.14KB,295.74us,90.40%,1.25ms,90.40%,3.31k,83.17%,3.67k,83.17%,,,,
1,2,10,,48716,10.10s,12.55MB,4823.61,1.24MB,405.27us,88.42%,3.47ms,88.42%,4.85k,78.22%,6.31k,78.22%,,,,
1,3,10,,65567,10.10s,16.89MB,6492.09,1.67MB,505.21us,97.17%,14.03ms,97.17%,6.53k,76.24%,8.96k,76.24%,,,,
1,4,10,,83789,10.10s,21.59MB,8295.96,2.14MB,488.87us,99.14%,17.20ms,99.14%,8.34k,75.25%,10.01k,75.25%,,,,
1,5,10,,94945,10.10s,24.46MB,9400.41,2.42MB,518.85us,81.67%,4.51ms,81.67%,9.44k,75.25%,11.01k,75.25%,,,,
1,6,10,,103983,10.00s,26.79MB,10396.99,2.68MB,579.49us,96.96%,15.91ms,96.96%,10.45k,79.00%,12.14k,79.00%,,,,
1,7,10,,115831,10.10s,29.85MB,11468.93,2.96MB,611.23us,94.72%,13.99ms,94.72%,11.53k,79.21%,13.05k,79.21%,,,,
1,8,10,,108914,10.01s,28.06MB,10878.2,2.80MB,3.12ms,97.92%,222.49ms,97.92%,11.03k,81.82%,13.24k,81.82%,,,,
1,9,10,,132007,10.10s,34.01MB,13070.65,3.37MB,722.75us,96.16%,32.82ms,96.16%,13.14k,74.26%,14.51k,74.26%,,,,
1,10,10,,122907,10.10s,31.67MB,12169.2,3.14MB,0.93ms,94.64%,22.51ms,94.64%,12.24k,66.34%,14.71k,66.34%,,,,
1,11,10,,138571,10.10s,35.71MB,13720.14,3.54MB,0.91ms,95.54%,27.92ms,95.54%,13.78k,79.21%,15.03k,79.21%,,,,
1,12,10,,142723,10.00s,36.78MB,14271.61,3.68MB,1.69ms,99.01%,199.68ms,99.01%,14.34k,92.00%,15.20k,92.00%,,,,
1,13,10,,147739,10.00s,38.07MB,14773.25,3.81MB,0.98ms,94.95%,43.84ms,94.95%,14.85k,96.00%,15.43k,96.00%,,,,
1,14,10,,123927,10.00s,31.93MB,12392.07,3.19MB,8.29ms,94.54%,409.76ms,94.54%,12.45k,87.00%,15.15k,87.00%,,,,
1,15,10,,140161,10.10s,36.12MB,13877.71,3.58MB,1.95ms,98.97%,200.88ms,98.97%,13.95k,80.20%,15.21k,80.20%,,,,
1,16,10,,139138,10.10s,35.85MB,13775.83,3.55MB,1.33ms,94.51%,39.64ms,94.51%,13.85k,90.10%,14.94k,90.10%,,,,
1,17,10,,144204,10.10s,37.16MB,14277.65,3.68MB,1.36ms,96.23%,90.17ms,96.23%,14.35k,91.09%,15.00k,91.09%,,,,
1,18,10,,143933,10.10s,37.09MB,14251.04,3.67MB,1.46ms,95.27%,51.81ms,95.27%,14.33k,93.07%,15.16k,93.07%,,,,
1,19,10,,146078,10.10s,37.64MB,14463.23,3.73MB,1.40ms,93.87%,71.65ms,93.87%,14.54k,90.10%,15.13k,90.10%,,,,
1,20,10,,139245,10.10s,35.88MB,13786.41,3.55MB,3.84ms,97.79%,401.26ms,97.79%,13.86k,95.05%,14.88k,95.05%,,,,
1,21,10,,131375,10.10s,33.85MB,13007.08,3.35MB,3.03ms,98.70%,223.40ms,98.70%,13.07k,73.27%,14.48k,73.27%,,,,
1,22,10,,109728,10.10s,28.27MB,10864.12,2.80MB,2.28ms,93.20%,83.58ms,93.20%,10.92k,76.24%,12.98k,76.24%,,,,
1,23,10,,120275,10.00s,30.99MB,12025.56,3.10MB,2.33ms,99.24%,353.30ms,99.24%,12.09k,81.00%,13.43k,81.00%,,,,
1,24,10,,123900,10.00s,31.93MB,12388.15,3.19MB,2.80ms,99.45%,581.15ms,99.45%,12.45k,85.00%,13.18k,85.00%,,,,
1,25,10,,126160,10.10s,32.51MB,12491.24,3.22MB,2.15ms,91.39%,60.10ms,91.39%,12.56k,74.26%,13.39k,74.26%,,,,
1,26,10,,125706,10.10s,32.39MB,12445.99,3.21MB,2.26ms,97.21%,184.62ms,97.21%,12.51k,81.19%,14.79k,81.19%,,,,
1,27,10,,141754,10.10s,36.53MB,14035.11,3.62MB,2.07ms,91.89%,55.68ms,91.89%,14.10k,88.12%,14.68k,88.12%,,,,
1,28,10,,139297,10.10s,35.89MB,13791.65,3.55MB,2.17ms,91.06%,61.08ms,91.06%,13.87k,73.27%,14.52k,73.27%,,,,
