Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
100,100,30,"",329397,30.10s,84.88MB,10943.00,2.82MB,48.16ms,90.67%,1.01s,90.67%,118.40,90.58%,1.01k,90.58%,"","","",""
100,200,30,"",278396,30.10s,71.73MB,9248.89,2.38MB,76.31ms,91.48%,1.57s,91.48%,102.59,80.76%,2.54k,80.76%,0,0,0,1
100,300,30,"",307241,30.10s,79.17MB,10207.03,2.63MB,115.17ms,89.25%,1.90s,89.25%,105.37,72.87%,450.00,72.87%,0,0,0,1
100,400,30,"",292141,30.10s,75.27MB,9705.54,2.50MB,175.45ms,86.74%,2.00s,86.74%,109.17,63.78%,777.00,63.78%,0,0,0,107
100,500,30,"",324423,30.10s,83.59MB,10778.01,2.78MB,139.70ms,88.29%,1.97s,88.29%,124.04,61.50%,737.00,61.50%,0,0,0,237
100,600,30,"",284681,30.10s,73.35MB,9457.86,2.44MB,131.76ms,89.57%,1.99s,89.57%,124.96,70.51%,595.00,70.51%,0,0,0,314
100,700,30,"",265782,30.10s,68.48MB,8830.01,2.28MB,129.27ms,89.84%,2.00s,89.84%,128.78,69.20%,0.95k,69.20%,0,150,0,155
100,800,30,"",298314,30.10s,76.86MB,9910.60,2.55MB,112.49ms,90.25%,1.99s,90.25%,158.78,66.21%,1.08k,66.21%,0,312,0,156
100,900,30,"",303985,30.10s,78.33MB,10098.96,2.60MB,100.34ms,91.14%,1.99s,91.14%,136.42,78.35%,1.05k,78.35%,0,414,0,201
100,1000,30,"",,,,,,,,,,,,,,"","","",""
200,200,30,"",274051,30.10s,70.61MB,9104.43,2.35MB,39.73ms,95.91%,1.89s,95.91%,48.86,88.24%,555.00,88.24%,0,0,0,22
200,300,30,"",272109,30.10s,70.11MB,9039.94,2.33MB,23.45ms,99.32%,1.83s,99.32%,45.49,95.20%,550.00,95.20%,0,0,0,1
200,400,30,"",287233,30.10s,74.01MB,9542.46,2.46MB,185.52ms,85.64%,1.98s,85.64%,60.70,60.98%,393.00,60.98%,0,0,0,80
200,500,30,"",303877,30.10s,78.30MB,10095.59,2.60MB,156.28ms,87.08%,1.99s,87.08%,64.29,72.87%,570.00,72.87%,0,0,0,46
200,600,30,"",258040,30.10s,66.49MB,8572.30,2.21MB,128.88ms,89.72%,2.00s,89.72%,70.73,74.02%,740.00,74.02%,0,0,0,534
200,700,30,"",299982,30.10s,77.29MB,9966.38,2.57MB,121.12ms,89.44%,1.98s,89.44%,87.69,68.35%,595.00,68.35%,0,60,0,117
200,800,30,"",311527,30.10s,80.27MB,10349.52,2.67MB,106.31ms,90.47%,2.00s,90.47%,98.73,68.96%,1.03k,68.96%,0,289,0,190
200,900,30,"",318644,30.10s,82.10MB,10586.25,2.73MB,96.28ms,91.25%,2.00s,91.25%,105.75,71.76%,1.49k,71.76%,0,34,0,121
200,1000,30,"",,,,,,,,,,,,,,"","","",""
300,300,30,"",274921,30.10s,70.84MB,9133.07,2.35MB,178.70ms,85.29%,1.95s,85.29%,43.65,72.90%,480.00,72.90%,0,0,0,2
300,400,30,"",264152,30.10s,68.06MB,8775.63,2.26MB,94.86ms,89.90%,1.99s,89.90%,36.89,67.82%,270.00,67.82%,0,0,0,51
